English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
FIREARM,"A weapon which acts by force of gunpowder, such as a rifle, shotgun or revolver.",ARMA DE FUEGO,"Un arma cuya acción se determina por fuerza de pólvora, tal como un rifle, escopeta o revólver.",
FIRST APPEARANCE,"The initial appearance of an arrested person before a judge to determine whether there is probable cause for his or her arrest. Generally, the person comes before a judge within hours of the arrest, and are informed of the charges against him or her and of his or her rights to a preliminary hearing, to counsel, and to bail. No plea is asked for at this time. Also called  INITIAL APPEARANCE.",PRIMERA COMPARECENCIA,"La comparecencia inicial de una persona detenida ante un juez para determinar si hay causa probable para su arresto. Generalmente la persona se presenta ante un juez después de pocas horas de su arresto, y se le informa de los cargos en su contra y de sus derechos a una audiencia preliminar, a tener un abogado, y a fianza. No se pide declaración en esta etapa.",
FITNESS HEARING,A court hearing to decide if a juvenile (minor) should be tried as an adult.,AUDIENCIA DE APTITUD FÍSICA,Una audiencia judicial para decidir si un menor debe ser juzgado como un adulto.,
FORCIBLE ENTRY AND ATROCIOUS CRIME,"Any felony that by its nature and the manner of its commission threatens, or is reasonably believed by the defendant to threaten life or great bodily injury so as to instill in him a reasonable fear of death or great bodily injury.  Murder, mayhem, rape, and robbery are all forcible and atrocious crimes.",ALLANAMIENTO VIOLENTO Y DELITO ATROZ,"Cualquier delito grave que por su naturaleza y la manera de su comisión amenaza, o es considerado razonablemente de amenazar la vida o causar grave daño físico, de modo que inculca en la víctima potencial un temor razonable de muerte o lesiones graves. Asesinato, mutilación, violación, y robo son todos delitos atroces y violentos.",
FORCIBLE ENTRY AND DETAINER,Ordinarily refers to a summary proceeding for restoring possession of land to one who has been wrongfully deprived of possession.,ALLANAMIENTO FORZOSO Y DETENCIÓN,Se refiere comúnmente al proceso sumario para restaurar la posesión de la tierra a alguien que ha sido privado injustamente de ella.,
FORECLOSURE,Procedure by which mortgaged property is sold on default of the mortgagor in satisfaction of mortgage debt.,EJECUCIÓN DE UNA HIPOTECA,El procedimiento por el cual la propiedad hipotecada se vende por falta de cumplimiento del deudor hipotecario para la satisfacción de la deuda.,
FORFEIT,"To lose, or lose the right to. In Traffic – to forfeit means to enter an implied guilty plea and pay total bail to close a case",PERDER EL DERECHO,Perder el derecho a algo. En la ley de Tráfico – este término significa acceptación implícita de culpabilidad y el pago total de la fianza para cerrar un caso.,
FORFEITURE,When a person must give up money or property because he or she didn't meet a legal obligation. (See also BAIL FORFEITURE).,DECOMISO ,Cuando una persona debe renunciar a dinero o propiedad porque no cumplió con una obligación legal.,
FORGERY,The act of claiming one's own writing to be that of another.,FALSIFICACIÓN,El acto de afirmar que su propia letra es la de otra persona.,
FORMAL PROBATION,Court–ordered terms and conditions placed upon a defendant instead of a sentence. Formal probation involves supervision of the defendant by a probation officer. Summary probation involves no probation officer; the defendant is responsible directly to the court.,LIBERTAD CONDICIONAL FORMAL,Los términos y condiciones ordenados por el tribunal e impuesto contra el acusado en lugar de una sentencia. La libertad condicional formal requiere la supervisión del acusado por un agente de libertad vigilada. La libertad condicional sumaria implica que ningún oficial supervisa al acusado; el acusado es responsable directamente ante el tribunal.,
GREAT BODILY INJURY,"Injury which involves a substantial risk of death, serious permanent disfigurement, or loss of function of any part of an organ of the body.  Is a graver and more serious  than ordinary battery.",LESIONES CORPORALES GRAVES,"Lesiones que implican un riesgo substancial de muerte, desfiguración, o pérdida permanente de la función de un órgano corporal. Es un delito más grave y más serio que una agresión común.",
GROSS NEGLIGENCE,"A negligent act(s) which is reckless or flagrant and which is such a departure from conduct of an ordinary, prudent person under the same circumstances as to be contrary to a proper regard for human life or to constitute indifference to the consequences of those acts.  The facts must be such that the consequences of the negligent act(s) could reasonably have been foreseen and it must appear that the death/danger to human life was not the result of inattention or mistaken judgment, but the natural and probable result of reckless or flagrantly negligent act.",NEGLIGENCIA GRAVE,"Un acto (o actos) negligente que es imprudente o flagrante y que está fuera de la conducta de una persona ordinaria y prudente bajo las mismas circunstancias, lo contrario a la consideración apropiada para la vida humana o que constituye indiferencia a las consecuencias de esos actos. Los hechos deben ser tales que las consecuencias del acto negligente pudieran haber sido previstas razonablemente y debe parecer que la muerte/el peligro a la vida humana no era el resultado de falta de atención ni juicio erróneo, sino del resultado natural y probable del acto de descuido o negligencia flagrante.",
GROUNDS,A foundation or basis; points relied on.,BASES,Una fundación o base; puntos en los que se puede depender.,
GUARDIAN,"person appointed by will or by law to assume responsibility for incompetent adults or minor children. If a parent dies, this will usually be the other parent. If both die, it probably will be a close relative. In Juvenile Dependency cases, once a guardian is appointed, dependency may be terminated.",GUARDIÁN,"Una persona designada por testamento o por ley para asumir responsabilidad por adultos incompetentes o niños menores. Si un padre muere, el otro padre generalmente servirá como guardián. Si ambos mueren, el guardián será probablemente el pariente más cercano. En casos de Dependencia Juvenil una vez que un guardián es designado, el proceso de la dependencia puede terminar.",
GUARDIAN AD LITEM,An adult appointed by a court who represents a minor child or legally incompetent person.  (See also AD LITEM).,GUARDIÁN AD LITEM,Un adulto designado por un tribunal para representar a un niño menor o a una persona legalmente incompetente.,
GUARDIANSHIP,"A court proceeding where a judge chooses someone to care for a person under age 18 or to manage the minor's estate (property), or both. In some states, conservatorship of an adult is called guardianship, but not in California.  (Compare with CONSERVATORSHIP.)",TUTELA,"El proceso judicial en el que un juez escoge a alguien para que cuide a una persona menor de 18 años o para manejar la propiedad del menor, o hacer ambas cosas. En algunos estados, la tutoría de un adulto se llama tutela, pero no en California.",
GUILTY,A court decision that a defendant committed a crime.,CULPABLE,Una decisión del tribunal que afirma que un acusado cometió un delito.,
GUILTY PLEA,When a person admits in court that he or she is guilty of a crime.,DECLARACIÓN DE CULPABILIDAD,Cuando una persona admite ante un tribunal que es culpable de un delito.,
HABEAS CORPUS,The name of a writ used to bring a person before a court or judge to decide whether that person is being unlawfully denied his or her freedom. The term comes from Latin.,HABEAS CORPUS,El nombre del decreto utilizado para llevar a una persona ante un tribunal o juez para decidir si la persona ha sido privada ilegalmente de su libertad. El término viene del latín.,
HANDCUFFS,Chains or shackles for the hands to secure prisoners.,ESPOSAS,Cadenas o grilletes para las manos para asegurar a los presos.,
HARASSMENT,"Words, gestures, and actions which tend to annoy, alarm, and verbally abuse another person.",ACOSO,"Palabras, gestos, y acciones que tienden a molestar, alarmar, y abusar verbalmente a otra persona.",
HARMLESS ERROR,An error committed during a trial that was corrected or was not serious enough to affect the outcome of a trial and therefore was not sufficiently harmful (prejudicial) to be reversed on appeal.,ERROR EXCUSABLE,Un error cometido durante un juicio que se corrigió o no era suficientemente grave para afectar el resultado de un juicio y por lo tanto no era suficientemente perjudicial para ser revocado en la apelación.,
HARVEY WAIVER,"The facts, relating to a charge that was dismissed as part of a plea bargain, are “related to” the particular charge for which the minor is being sentenced may be considered at the time of disposition.",RENUNCIA HARVEY,"Los hechos, relacionandos a un cargo que fue desechado como parte de una declaración, son “relacionados” al cargo particular por el cual el menor que es sentenciado puede ser considerado al momento de la disposición.",
HEARING,"A formal court proceeding with the judge and opposing sides present, but no jury.",AUDIENCIA,"Un proceso judicial formal con el juz y las partes opuestas presentes, pero sin jurado.",
"HEARING, CONTESTED",A hearing held for the purpose of deciding issues or fact of law that both parties are disputing.,AUDIENCIA DISPUTADA,Una audiencia conducida con el propósito de presentar los asuntos o hechos de ley que las dos partes están disputando.,
HEARING DE NOVO,"A full, new hearing.",AUDIENCIA DE NOVO,Una nueva y completa audiencia.,
"HEARING, PRELIMINARY","The hearing given to person accused of crime, by a magistrate or judge, to determine whether there is enough evidence to warrant the confinement and holding to bail the person accused.","AUDIENCIA, PRELIMINAR","La audiencia concedida a la persona acusada de un delito por un magistrado o juez, para determinar si hay suficiente evidencia para justificar el encarcelamiento y la decisión de fianza para la persona acusada.",
HEARSAY,"Statements by a witness who did not see or hear the incident in question, but heard about it from someone else. Hearsay usually can't be used as evidence in court.",EVIDENCIA POR REFERENCIA,"Afirmaciones de un testigo que no vio ni oyó el incidente en cuestión, pero o lo oyó por medio de otra persona. Este tipo de evidencia no puede ser usada como prueba en el tribunal.",
HEIR,A person that has the right to inherit money or property from someone who dies without a will.,HEREDERO,Un individuo que tiene el derecho de heredar dinero o propiedad de alguien que muere sin dejar testamento.,
HIT AND RUN,Crime in which the driver of a vehicle leaves the scene of an accident without identifying himself or herself.,ACCIDENTE Y FUGA,El delito en el que el conductor de un vehículo abandona la escena de un accidente sin identificarse.,
HITCH MOTION,A request to exclude evidence.,MOCIÓN HITCH,Una moción para excluir evidencia.,
HOLDING CELL,A temporary location inside a courthouse where prisoners are held before and after their court appearance.,CELDA DE DETENCIÓN,Una habitación temporal dentro del tribunal en la que los presos son detenidos antes y después de comparecer ante el tribunal.,
HOLOGRAPHIC WILL,A handwritten will. The court needs to see proof of the person's handwriting. No one has to witness or notarize a handwritten will.,TESTAMENTO HOLOGRÁFICO,Un testamento escrito a mano. El tribunal requiere ver la prueba de la letra a mano de una persona. Nadie tiene que presenciar o notarizar el testamento escrito a mano.,
HOME MONITORING,An alternative to imprisonment where an individual is confined to his or her home and monitored electronically.,ARRESTO DOMICILIARIO CON MONITOREO,Una forma alternativa en la cual el individuo es arrestado en su hogar y es controlado electrónicamente.,
HOME SUPERVISION,Temporary house arrest for a minor while awaiting the court’s final decision.  Also used as punishment after the court’s final decision.,SUPERVISIÓN EN CASA,Arresto domiciliario temporal para un menor mientras espera la decisión final del tribunal. También es utilizado como castigo después de la decisión final del tribunal.,
HOMICIDE,The unlawful killing of one human being by another.,HOMICIDIO,La muerte ilegal de un ser humano por otro ser humano.,
HOSTILE WITNESS,A witness whose testimony is not favorable to the party who calls him or her as a witness. May be asked leading questions and may be cross–examined by the party who calls him or her to the stand.,TESTIGO HOSTIL,Un testigo cuyo testimonio no es favorable a la parte que lo llama a declarar. Le pueden hacer preguntas sugestivas y puede ser contrainterrogado por la parte que lo llamó al estrado.,
HUNG JURY,A jury whose members cannot agree upon a verdict.,JURADO CON VEREDICTO SUSPENDIDO,Un jurado que no puede ponerse de acuerdo sobre un veredicto.,
HYPOTHETICAL QUESTION,"An imaginary situation, using facts previously admitted into evidence, upon which an expert witness is permitted to give an opinion as to a condition resulting from the situation.",PREGUNTA HIPOTÉTICA,"Una situación imaginaria, utilizando los hechos previamente admitidos en la evidencia, sobre la cual un testigo experto puede dar una opinión en cuanto a una condición que resulta de tal situación.",
IDIODICY,It is the complete absence of mind that is generally the result of a birth defect rather than a disease.,IDIOTEZ,"Es la ausencia completa de procesos mentales, generalmente el resultado de un defecto de nacimiento en lugar de una enfermedad.",
IGNORANCE OF FACT,The lack of knowledge of some fact or facts relating to the subject matter at hand.  May sometimes be used as a defense or ground for relief.,IGNORANCIA DE HECHO,La falta de conocimiento de algún hecho o hechos que se relacionan al tema siendo tratado. Puede ser utilizado a veces como una defensa o causa para una reparación.,
ILLEGAL,"Against, or not authorized by law.",ILEGAL,"En contra, o no autorizado por la ley.",
IMMENENT PERIL,"Certain, immediate, and impending danger.",PELIGRO INMINENTE,"Peligro cierto, inmediato e inminente.",
IMMUNITY,A right to be excepted from duty or penalty. (See also PRIVILEGE.),INMUNIDAD,Un derecho de ser excluido de una obligación o de un castigo.,
IMPANEL,"To seat a jury. When voir dire is finished and both sides have exercised their challenges, the jury is impaneled. The jurors are sworn in and the trial is ready to proceed.",ELEGIR,"Juntar o crear un jurado. Cuándo el proceso de interrogar posibles jueces termina y ambas partes han ejercidos sus cuestionamientos, el jurado es seleccionado. El jurado presta juramento y el juicio está listo para proceder.",
IMPEACHMENT OF WITNESS,To call into question the truthfulness of a witness.,IMPUGNACIÓN DEL TESTIGO,Poner en cuestión o duda la honestidad de un testigo.,
IMPLIED,"Where intention is not manifested by explicit words, but is gathered by implication.",IMPLICADO,"Situación en la que la intención no se manifiesta en palabras explícitas, pero es entendido por implicación.",
IMPLIED CONTRACT,"A contract in which the promise made by on party is not expressed, but inferred by that party's conduct or is implied in law.",CONTRATO IMPLICADO,"Un contrato en el que la promesa hecha por una de las partes no se expresa, pero es inferida por su conducta o es implicado por la ley.",
IMPOUND,To take and keep an animal or an object in custody.,INCAUTAR,Tomar o mantener un animal o un objeto bajo custodia.,
IMPRISONMENT,"The act of putting or confining a man in prison, or the restraint of a man’s personal liberty.",ENCARCELAMIENTO,"El acto de poner o confinar a una persona en prisión, o impedir su libertad.",
INADMISSIBLE,Cannot be admitted as evidence in a trial or hearing.,INADMISIBLE,No puede ser admitido como evidencia en el caso o la audiencia.,
IN CAMERA,"A hearing held in the judge's chambers or in a court with all spectators (including the jury) excluded. From the Latin that means ""in chamber.”",IN CAMERA,Una audiencia conducida en las cámaras de un juez o en un tribunal con todos los espectadores (inclusive el jurado) excluidos. Del latín y significa “en la cámara.”,
INCAPACITY,The lack of power or the legal ability to act.,INCAPACIDAD,La falta de poder o habilidad legal de actuar.,
INCARCERATE,To put in jail or prison.,ENCARCELAR,Poner en la cárcel o la prisión.,
INCEST,Sexual intercourse between persons so closely related that marriage between them would be unlawful.,INCESTO,La relación sexual entre personas emparentadas tan cercamente que el matrimonio entre ellos sería ilegal.,
INCOMPETENCY,"Lack of capacity to understand the nature and object of the proceedings, to consult with counsel, and to assist in preparing a defense.",INCOMPETENCIA,"Falta de capacidad de entender la naturaleza y el objeto del proceso legal, consultar con el abogado, y participar en la preparación de una defensa.",
INCRIMINATE,To hold yourself or another person responsible for criminal actions.,INCRIMINAR,Hacerse a sí mismo o a otra persona responsable de acciones penales.,
INDECENT EXPOSURE,Showing private body parts in a lewd or indecent manner in a public place.,EXPOSICIÓN INDECENTE,Mostrar las partes privadas del cuerpo en una manera lasciva o indecente en un lugar público.,
INDEMNIFY,Liability for loss is shifted from one person held legally responsible to another.,INDEMNIZAR,La obligación legal por una pérdida que cambia de una persona que tiene responsabilidad legal a otra.,
INDEMNITY,"An obligation to provide compensation (usually money) for a loss, hurt or damage.",INDEMNIZACIÓN,"Una obligación de proporcionar compensación (generalmente en dinero) por una pérdida, lesión o daño.",
INDEPENDENT EXECUTOR,"A special kind of executor, permitted by the laws of certain states, who performs the duties of an executor without intervention by the court.",ALBACEA INDEPENDIENTE,"Una clase especial de albacea, permitido por las leyes de ciertos estados, que realiza los deberes de un albacea sin la intervención del tribunal.",
INDETERMINATE SENTENCE,"A sentence of imprisonment to a specified minimum and maximum period of time, specifically authorized by statute, subject to termination by a parole board or other authorized agency after the prisoner has served the minimum term.",SENTENCIA INDETERMINADA,"Una sentencia de encarcelamiento de un mínimo y máximo periodo de tiempo especificado. Específicamente autorizada por el estatuto, sujeto a la terminación por una directiva que concede la libertad condicional u otra agencia autorizada después  de que el recluso ha servido el término mínimo.",
INDIAN CHILD WELFARE ACT (ICWA),Federal law to protect the integrity of Indian families.,ACTA DE BIENESTAR DEL NIÑO INDIO (ICWA),La ley federal que protege la integridad de familias indias.,
INDICTMENT,A formal charge by a grand jury saying there is enough evidence that the defendant committed the crime to justify having a trial.  Used primarily for felonies.,ACUSACIÓN POR GRAN JURADO,Un cargo formal por un gran jurado que declara que hay suficiente evidencia que demuestra que el acusado cometió un delito para justificar un juicio. Utilizado principalmente para crímenes graves.,
INDIGENT,"A person who is poor, needy, and has no one to look to for support.",INDIGENTE,"Una persona que es pobre, necesitada, y que no tiene a nadie para acudir por apoyo.",
INDIVIDUAL EDUCATION PLAN (IEP),Plan for a student who is entitled to special education services.,PLAN DE EDUCACIÓN INDIVIDUAL (IEP),El plan para un estudiante que tiene derecho a servicios especiales de educación.,
INDORSEMENT,"That which is written on the back of a negotiable instrument.  It is also used with reference to writs, insurance policies, certificates of stocks, etc.",ENDORSO,"Lo que se escribe al reverso de un instrumento negociable. Se utiliza también con referencia a mandatos judiciales, pólizas de seguros, certificados de acciones, etc.",
IN FORMA PAUPERIS,"When the court says a person does not have to pay a filing fee because the person can't afford it.  In Latin, means ""in the manner of a pauper.”",IN FORMA PAUPERIS,Cuando el tribunal declara que una persona no tiene que pagar un honorario para presentar una demanda porque la persona no lo puede hacer. Del latín y significa “por causa de pobreza.”,
INFORMANT ,"An undisclosed person who confidentially discloses material information of a crime to the police, which is usually done in exchange for a reward or special treatment.",INFORMANTE ,Una persona que confidencialmente revela información material de un delito a la policía. Esta información se da a conocer generalmente a cambio de una recompensa o tratamiento especial.,
INFORMATION,A written accusation charging a person with a crime. It is presented in court by a prosecuting officer under oath and does not come from a grand jury.,INFORMACIÓN,Una acusación escrita que inculpa a una persona de un delito. Es presentada en el tribunal por un oficial de la fiscalía bajo juramento y no proviene de un gran jurado.,
INFRACTION,"A minor violation of a law, contract, or right that is not a misdemeanor or a felony and can't be punished by time in prison. Minor traffic offenses are generally considered infractions.",INFRACCIÓN,"Una violación menor de la ley, contrato, o derecho que no es un delito menor, o un delito grave y que no es castigado con tiempo en la prisión. Violaciones menores de la ley de tráfico se consideran generalmente como infracciones.",
INHABITED,"Act of residing actually and permanently in a given place or dwelling.  Synonymous with domicile, dwell, live, sojourn.",HABITADO,"El acto de residir permanentemente en un lugar o vivienda. Sinónimo con domicilio, morada, vivienda, y residencia.",
INHABITED DWELLING,A structure which is currently used as a residence whether occupied or not.  Courts flexibly interpret this term.  It is still inhabited even if the occupants are temporarily absent.,RESIDENCIA HABITADA,Una estructura que se utiliza en el presente como una residencia ya sea que esté ocupada o no. Los tribunales interpretan flexiblemente este término. Se considera habitada todavía incluso si los ocupantes están temporalmente ausentes.,
INHERITANCE TAX,A state tax on property that an heir or beneficiary under a will receives from a deceased person's estate. The heir or beneficiary pays this tax.,IMPUESTO DE HERENCIA,Un impuesto estatal sobre la propiedad que un heredero o beneficiario recibe de una persona difunta como testamento. El heredero o beneficiario paga este impuesto.,
INITIAL APPEARANCE,"In criminal law, the hearing at which a judge determines whether there is sufficient evidence against a person charged with a crime to hold him or her for trial. The Constitution bans secret accusations, so initial appearances are public unless the defendant asks otherwise; the accused must be present, though he or she usually does not offer evidence. Also called FIRST APPEARANCE.",COMPARECENCIA INICIAL,"En el derecho penal, la audiencia en que un juez determina si exisite evidencia suficiente contra una persona acusada de un delito para proceder a una audiencia. La Constitución prohibe las acusaciones secretas, así es que las comparecencias iniciales son públicas a menos que el acusado pida lo contrario; el acusado debe estar presente, aunque generalmente no ofrece evidencia. También llamado PRIMERA COMPARECENCIA.",
INJUNCTION,"A court order that says a defendant can't perform, or must perform, a specific act.  (See RESTRAINING ORDER.)",MANDATO,"Una orden judicial que declara que un acusado no puede realizar, o debe realizar, un acto específico. (Ver ORDEN DE RESTRICCIÓN)",
IN LOCO PARENTIS,"Latin meaning ""in the place of the parent."" Refers to actions of a custodian, guardian, or other person acting in the parent's place.",IN LOCO PARENTIS,"Del latín y significa “en el lugar del padre.” Se refiere a acciones de un custodio, guardián, u otra persona que actúa en el lugar del padre.",
INMATE,"A person confined to a prison, penitentiary, or jail.",PRESO,"Una persona encarcelada en una prisión, penitenciaría o cárcel.",
INNOCENT UNTIL PROVEN GUILTY,A belief in the American legal system which states that all people accused of a criminal act are considered not to have committed the crime until the evidence leaves no doubt in the mind of the court or the jury that the accused did or did not commit the crime.,INOCENTE HASTA QUE NO SE PRUEBE LO CONTRARIO,Un precedente del sistema legal americano que declara que todas las personas acusadas de un delito son consideradas de no haber cometido el delito hasta que la evidencia no deje duda en la mente del tribunal o el jurado que el acusado cometió o no el crimen.,
IN PERSONAM,An act or proceeding done or directed against or with reference to a specific person.,CONTRA LA PERSONA,Un acto o procedimiento hecho o dirigido contra o con referencia a una persona específica.,
IN PROPIA PERSONA (IN PRO PER),"When a person represents himself or herself without a lawyer. This comes from the Latin for ""in one's own proper person."" (See also PRO PER AND PRO SE.)",EN PROPIA PERSONA,Cuando una persona se representa a sí misma sin un abogado. Viene del latín y significa “en propia persona.”,
IN REM,A procedural term used to designate proceedings or actions instituted against the thing in contrast to actions instituted IN PERSONAMor against the person.,CONTRA UNA COSA,Un término procesal utilizado para designar los actos o las acciones en contra de un objeto en contraste a acciones realizadas IN PERSONAM o contra la persona.,
INSANITY PLEA,A claim by a defendant that he or she lacks the soundness of mind required by law to accept responsibility for a criminal act.,DECLARACIÓN DE DEMENCIA,Un demanda en la que el acusado sostiene que carece de la sanidad mental requerida por la ley para aceptar responsabilidad por un acto delictivo.,
INSTRUCTIONS,The explanation of constitutional rights given by a judge to a defendant.,INSTRUCCIONES,La explicación de derechos Constitucionales dados por un juez a un acusado.,
INTANGIBLE ASSETS,"Property that you own, but do not physically have. For example, stocks, bonds, bank accounts, copyrights, patents, etc.",BIENES INTANGIBLES,"La propiedad que una persona posee, pero no tiene físicamente. Por ejemplo, las acciones, bonos, cuentas bancarias, derechos de autor, patentes, etc.",
INTENT,The purpose to use a particular means to bring about a certain result.,INTENCIÓN,El propósito de utilizar un medio particular para producir un cierto resultado.,
INTENT TO DEFAUD,"To have in mind a purpose to cheat or trick someone.For example, purposely writing a bad check.",INTENTO DE DEFRAUDAR,"Tener el propósito de estafar o engañar a alguien. Por ejemplo, escribiendo intencionalmente un cheque sin fondos.",
INTER ALIA,Among other things.,INTER ALIA,Del latín y significa “entre otras cosas.”,
INTER VIVOS GIFT,A gift made during the giver's life.,OBSEQUIO ENTRE VIVOS,Un obsequio hecho mientras todavía vive el donante.,
INTER VIVOS TRUST,A trust made while the owner is still alive. Another name for a living trust.,FIDEICOMISO ENTRE VIVOS,Un fideicomiso hecho mientras el dueño está todavía vivo. Otro nombre para fideicomiso activo.,
INTERLINEATIONS,The act of writing between the lines of a document.,INTERLINEADO,El acto de escribir entre las líneas de un documento.,
INTERLOCUTORY ,Provisional; not final. An interlocutory appeal concerns only a part of the issues raised in a lawsuit. (Compare to DECREE.),INTERLOCUTORIO,Provisional; no final. Una apelación interlocutoria concierne sólo a una parte de los hechos considerados en el litigio.,
INTERPLEADER,When two or more people say they have a claim to the same thing held by a third party. The third party may force them to go to trial with each other to settle their dispute.,ENTRE DEMANDANTES,Cuando dos o más personas declaran que tienen un reclamo sobre el mismo objeto que es obtenido por una tercera persona. La tercera persona los puede forzar a ir a juicio para resolver su disputa.,
INTERPRETER,"A person who is certified as being able to translate, orally or in writing, spoken or sign language into the common language of the court.",INTÉRPRETE,"Una persona que es certificada como capaz de traducir, oralmente o por escrito, hablado o por idioma de signos en el lenguaje común del tribunal.",
INTERROGATORIES,Written questions asked by one party in a lawsuit for which the opposing party must answer them in writing.,INTERROGATORIOS,Preguntas hechas por escrito por una de las partes en un litigio para que la parte opuesta las conteste por escrito.,
INTERVENOR,A person who voluntarily interrupts in an action or other proceeding with the leave of the court.,INTERVENTOR,Una persona que interrumpe o interviene voluntariamente en una acción u otro acto con la aprobación del tribunal.,
INTERVENTION,An action by which a third person who may be affected by a lawsuit is permitted to become a party to the suit. Differs from the process of becoming an AMICUS CURIAE.,INTERVENCIÓN,Una acción por la cual a la tercera persona que puede ser afectada por un litigio se le permite ser parte de la demanda. Diferente del proceso de ser un AMICUS CURIAE.,
INTESTACY LAWS,See DESCENT AND DISTRIBUTION STATUTES.,LEYES DE FALTA DE TESTAMENTO,Vea los ESTATUTOS DE DISTRIBUCION.,
INTESTATE,To die without making a will or leaving instructions for disposal of your property after death. (See TESTATE.),INTESTADO,Morir sin dejar un testamento o sin dejar instrucciones de la disposición de la propiedad después de la muerte.,
INTESTATE SUCCESSION,The process by which the property of a person who has died without a will passes on to others according to state law.,SUCESIÓN INTESTADA,El proceso por el cual la propiedad de una persona que ha muerto sin testamento pasa a otros de acuerdo con la ley del estado.,
INTOXICATION,A diminished ability to act with full mental and physical capabilities because of alcohol or drug consumption; drunkenness.,INTOXICACIÓN,Falta de habilidad para actuar con la capacidad física y mental requerida por la ley por haber consumido alcohol o drogas; embriaguez.,
INTRODUCTORY INSTRUCTIONS,"Pre–trial admonitions or statements by judge or other court official that explain to the jury, lawyers, and/ or audience their duties, and obligations during court proceedings.",INSTRUCCIONES INTRODUCTORIAS,"Las amonestaciones o las declaraciones, antes del juicio, por el juez u otro funcionario del tribunal que explican al jurado, a los abogados, y/o a la audiencia sus deberes, y obligaciones durante los procedimientos del tribunal.",
INVESTIGATION,A legal inquiry to discover and collect facts concerning a certain matter.,INVESTIGACIÓN,Una indagación legal para descubrir y conectar los hechos con respecto a cierto asunto.,
INVOLUNTARY MANSLAUGHTER,"The unlawful killing of a human being in which there is no intention to kill or do grievous bodily harm, but that is committed with criminal negligence or during the commission of a crime not included within the felony murder rule. (Also called negligent manslaughter.)",HOMICIDIO INVOLUNTARIO,"La muerte ilegal de un ser humano en que no hay intención para matar ni hacer daños corporales graves, pero que se comete con negligencia criminal o durante la comisión de un delito no incluido dentro de la regla del asesinato con felonía.",
INVOLUNTARY INTOXICATION,The ingestion of alcohol or drugs against one’s will or without ones knowledge.  This may be used as an affirmative defense to a criminal negligence charge.,EMBRIAGUEZ INVOLUNTARIA,La ingestión de alcohol o drogas contra la voluntad o sin el conocimiento de una persona. Esto se puede utilizar como una defensa afirmativa frente un cargo penal de negligencia.,
IRRELEVANT,Evidence not sufficiently related to the matter at issue.,IRELEVANTE,La evidencia no relacionada suficientemente al asunto en cuestión.,
IRREVOCABLE TRUST,A trust that cannot be changed or cancelled after it is made.,FIDEICOMISO IRREVOCABLE,Un fideicomiso que no se puede cambiar ni puede ser cancelado después de que se haya hecho.,
ISSUE,"1) The disputed point in a disagreement between parties in a lawsuit. 2) To send out officially, as when a court issues an order.",TEMA/ENVÍO,"1) El tema discutido en un desacuerdo entre las partes en un juicio. 2) Enviar oficialmente, como cuando un tribunal emite una orden.",
JAIL,A place of confinement that is more than a police station and less than a prison. It is usually used to hold persons convicted of misdemeanors or persons awaiting trial.,CÁRCEL,Un lugar de encarcelamiento que es más que una comisaría y menos que una prisión. Se utiliza generalmente para detener personas condenadas de delitos menores o personas que aguardan el juicio.,
JEOPARDY,"Risk to a defendant of possible conviction and punishment.  In a criminal case, the defendant is usually said to be ""in jeopardy"" after the preliminary hearing has taken place and the jury has been sworn in.",RIESGO,"El riesgo de un acusado de una posible condena y castigo. En un caso criminal, el acusado se dice generalmente estar en “el riesgo” después de que la audiencia preliminar ha ocurrido y el jurado ha sido juramentado.",
JOHNSON MOTION,A motion to discuss grand jury indictment.,MOCIÓN JOHNSON,Una moción para discutir la acusación del gran jurado.,
JOIN,"To unite, to combine, to enter into an alliance.",UNIR,"Unirse, combinar, acordar ingresar en una alianza.",
JOINDER,"Generally, a bringing or joining together. For example, plaintiff's joining in a suit, or a joining of actions or defense.",ASOCIACIÓN,"Generalmente, unirse o asociarse. Por ejemplo, el demandante se une en un juicio, o en una unión de acciones o defensa.",
JOINT AND SEVERAL LIABILITY,A legal doctrine that makes each of the parties who are responsible for an injury liable for all the damages awarded in a lawsuit if the other parties responsible cannot pay.,RESPONSABILIDAD MANCOMUNADA,"Una doctrina legal que hace a cada una de las partes responsables de lesions o daños, responsables conjuntamente por todos los daños concedidos en un litigio, si las otras partes responsables no pueden pagar.",
JOINT TENANCY,"When two or more people own something and have rights of survivorship. This means that if one tenant dies, his or her share goes to the other tenants.",CONDOMINIO,"Cuando dos o más personas poseen algo y tienen los derechos de supervivencia. Esto significa que si uno de los propietarios muere, su parte es heredada por los otros.",
JOINT VENTURE,"An association of persons jointly undertaking some commercial enterprise. Unlike a partnership, a joint venture does not entail a continuing relationship among the parties.",EMPRESA CONJUNTA,"Una asociación de personas formando colectivamente una empresa comercial. A diferencia de una asociación, una empresa conjunta no supone o crea una relación continua entre las partes.",
JOYRIDING,"Illegally taking an automobile without intent to deprive the owner permanently of the vehicle, often involving reckless driving.",PASEAR CON AUTO ROBADO,"Tomar ilegalmente un automóvil sin la intención de privar al dueño permanentemente del vehículo, lo que a menudo implica manejo imprudente.",
